ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
5.288489503284329e+139	25.976	6.492	24.388	17.496	0.19220973135323055	0	0	132	10	123	88	3	3	3	2	36	0	0.7829549312591553	500	0.7829549312591553	
7.571466889577342e+68	23.402	7.892388451443569	18.446194225721786	13.181102362204724	0.19220973135323055	1	120	113	36.0	131.0	92.0	2	2.0	2.0	1.0	50	0	0.11184000968933105	1000	0.8947949409484863	
2.061658214920236e+76	22.28	6.919540229885057	14.891954022988505	10.574712643678161	0.19220973135323055	2	185	128	25.0	99.0	72.0	2	2.0	2.0	1.0	52	0	0.09065723419189453	1500	0.9854521751403809	
35137003777.84772	22.006	6.803203661327231	13.720823798627002	9.791762013729977	0.19220973135323055	3	249	113	25.0	99.0	72.0	2	2.0	2.0	1.0	53	0	0.08763790130615234	2000	1.0730900764465332	
1.7959623991841846e+39	24.16	7.019955654101995	14.037694013303769	10.048780487804878	0.1885514838512606	4	299	102	25.0	79.0	58.0	1	2.0	2.0	1.0	55	0	0.09252667427062988	2500	1.165616750717163	
8.437447382323189	24.722	6.749464668094219	12.920770877944326	9.308351177730193	0.1885514838512606	5	333	108	25.0	76.0	55.0	2	2.0	2.0	1.0	58	0	0.09070825576782227	3000	1.2563250064849854	
2.3358774415784893	26.652	7.179704016913319	13.955602536997885	10.105708245243129	0.1885514838512606	6	361	107	25.0	75.0	54.0	1	2.0	2.0	1.0	61	0	0.09950852394104004	3500	1.3558335304260254	
1.7858252390947613	25.892	7.044303797468355	13.525316455696203	9.80168776371308	0.18631402702787178	7	388	104	26.0	78.0	59.0	2	2.0	2.0	1.0	62	0	0.14631056785583496	4000	1.5021440982818604	
3.94313781804593e+18	27.358	7.757383966244726	14.763713080168776	10.875527426160337	0.18631402702787178	8	415	75	26.0	87.0	64.0	3	2.0	2.0	1.0	63	0	0.09791803359985352	4500	1.6000621318817139	
31831690949.095924	28.106	7.707724425887265	14.991649269311065	11.01043841336117	0.18631402702787178	9	437	80	29.0	98.0	71.0	4	2.0	2.0	1.0	65	0	0.099945068359375	5000	1.7000072002410889	
7.878390065287401e+113	26.872	7.505307855626327	14.24416135881104	10.439490445859873	0.18631402702787178	10	467	88	28.0	95.0	68.0	3	2.0	2.0	1.0	68	0	0.09930634498596191	5500	1.7993135452270508	
708.2091515205242	28.338	7.640425531914894	14.338297872340426	10.617021276595745	0.18631402702787178	11	497	67	25.0	68.0	53.0	3	2.0	2.0	1.0	72	0	0.09621477127075195	6000	1.8955283164978027	
1528660467681.108	30.396	7.593429158110883	13.936344969199178	10.367556468172484	0.18631402702787178	12	511	66	23.0	60.0	46.0	4	2.0	2.0	1.0	75	0	0.09865093231201172	6500	1.9941792488098145	
3.691206721434324	30.464	7.640495867768595	14.059917355371901	10.388429752066116	0.18472851311815447	13	528	66	21.0	66.0	47.0	3	2.0	2.0	1.0	76	0	0.09720873832702637	7000	2.091387987136841	
3.121529500569565e+16	30.264	7.298568507157464	13.159509202453988	9.74642126789366	0.18472851311815447	14	540	69	18.0	61.0	44.0	3	2.0	2.0	1.0	77	0	0.09455084800720215	7500	2.185938835144043	
2.044309463965427	30.272	7.43035343035343	13.785862785862786	10.16008316008316	0.18472851311815447	15	560	76	21.0	74.0	51.0	4	2.0	2.0	1.0	83	0	0.09505987167358398	8000	2.280998706817627	
3.2251367688518537	31.312	7.517021276595744	14.119148936170212	10.36595744680851	0.18472851311815447	16	591	76	23.0	74.0	53.0	3	2.0	2.0	1.0	85	0	0.09421968460083008	8500	2.375218391418457	
1.2118258655590636e+112	33.864	7.975659229208925	15.344827586206897	11.397565922920892	0.18472851311815447	17	599	79	26.0	78.0	59.0	3	2.0	2.0	1.0	87	0	0.1030881404876709	9000	2.478306531906128	
4.242614338534926	34.688	8.406570841889117	16.86652977412731	12.457905544147843	0.18472851311815447	18	613	86	25.0	88.0	66.0	5	2.0	2.0	1.0	88	0	0.10852622985839844	9500	2.5868327617645264	
1.7023722624955597e+31	36.048	8.544715447154472	17.357723577235774	12.8130081300813	0.18472851311815447	19	622	93	26.0	78.0	58.0	3	2.0	2.0	1.0	97	0	0.10863161087036133	10000	2.6954643726348877	
2.3774847160662344e+21	37.842	8.111340206185567	16.123711340206185	11.927835051546392	0.18472851311815447	20	638	91	34.0	101.0	73.0	3	2.0	2.0	1.0	99	0	0.10392975807189941	10500	2.799394130706787	
2.0495733359146913	36.614	7.885480572597137	15.533742331288343	11.447852760736197	0.18472851311815447	21	649	91	22.0	72.0	50.0	6	2.0	2.0	1.0	101	0	0.1026759147644043	11000	2.9020700454711914	
2.5862401697180735	38.44	8.228571428571428	15.963265306122448	11.785714285714286	0.18472851311815447	22	660	97	25.0	77.0	55.0	6	2.0	2.0	1.0	105	0	0.10525679588317871	11500	3.00732684135437	
1547848674369.8481	39.182	8.840248962655602	17.526970954356848	13.022821576763485	0.18472851311815447	23	679	92	35.0	107.0	79.0	5	2.0	2.0	1.0	109	0	0.10961580276489258	12000	3.1169426441192627	
1.4799065286186466	39.56	9.273291925465838	18.51966873706004	13.910973084886129	0.18472851311815447	24	697	91	32.0	107.0	79.0	5	2.0	2.0	1.0	111	0	0.12000536918640137	12500	3.236948013305664	
