ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
1.3590538049380323e+88	25.862	6.512	24.152	17.412	0.19681586964302253	0	0	123	10	114	82	3	3	3	2	31	0	1.1496553421020508	500	1.1496553421020508	
2.385354473298403e+112	22.892	8.137203166226913	17.606860158311346	12.757255936675461	0.19681586964302253	1	122	123	31.0	107.0	75.0	2	2.0	2.0	1.0	54	0	0.2830219268798828	1000	1.4326772689819336	
2.010569457962182e+88	23.776	7.032332563510392	14.018475750577368	10.140877598152425	0.19681586964302253	2	190	101	29.0	112.0	79.0	3	2.0	2.0	1.0	62	0	0.25930237770080566	1500	1.6919796466827393	
7144.829333382033	24.958	7.053571428571429	13.877232142857142	10.040178571428571	0.18663120490944454	3	243	103	22.0	98.0	70.0	3	2.0	2.0	1.0	65	0	0.25414061546325684	2000	1.946120262145996	
2.8596643798661114	24.036	7.060475161987041	13.006479481641469	9.531317494600431	0.18663120490944454	4	281	84	24.0	61.0	43.0	3	2.0	2.0	1.0	66	0	0.24256491661071777	2500	2.188685178756714	
1.1303071782415924e+80	26.356	6.911827956989248	12.53763440860215	9.150537634408602	0.18663120490944454	5	317	84	26.0	64.0	48.0	3	2.0	2.0	1.0	69	0	0.2492060661315918	3000	2.4378912448883057	
3.9348154191763466e+18	28.476	7.304621848739496	13.6890756302521	10.0	0.18663120490944454	6	342	85	23.0	59.0	40.0	3	2.0	2.0	1.0	71	0	0.2562868595123291	3500	2.6941781044006348	
1.0931678760007652e+40	29.386	7.74321503131524	14.283924843423799	10.488517745302714	0.18663120490944454	7	364	91	24.0	85.0	61.0	3	2.0	2.0	1.0	73	0	0.2578456401824951	4000	2.95202374458313	
8.883287254754699e+29	29.316	7.5576519916142555	13.834381551362684	10.184486373165619	0.18631402702787178	8	388	78	23.0	90.0	64.0	3	2.0	2.0	1.0	76	0	0.29996705055236816	4500	3.251990795135498	
2.8913214688976896	30.238	7.808247422680412	14.098969072164948	10.451546391752577	0.18472851311815447	9	404	89	19.0	76.0	52.0	5	2.0	2.0	1.0	78	0	0.3327343463897705	5000	3.5847251415252686	
