ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
1.1783894426925338e+72	25.602	6.5	23.96	17.236	0.20670401202936808	0	0	172	10	160	115	3	3	3	2	27	0	1.404172420501709	500	1.404172420501709	
5.893824702597161e+86	19.642	7.532085561497326	14.435828877005347	10.574866310160427	0.19664832126083573	1	127	128	32.0	117.0	82.0	2	2.0	2.0	1.0	41	0	0.15062546730041504	1000	1.554797887802124	
9.645395385014867e+37	19.864	7.132701421800948	13.14218009478673	9.651658767772512	0.19612955960356587	2	206	89	30.0	78.0	59.0	1	2.0	2.0	1.0	44	0	0.11870479583740234	1500	1.6735026836395264	
3.4271264344016004	19.876	6.798627002288329	11.494279176201372	8.480549199084669	0.18409138260570002	3	270	89	30.0	70.0	52.0	1	2.0	2.0	1.0	48	0	0.10865139961242676	2000	1.7821540832519531	
4.485461716785868	22.428	6.9978354978354975	11.846320346320347	8.777056277056277	0.18409138260570002	4	308	83	21.0	61.0	43.0	3	2.0	2.0	1.0	52	0	0.11070537567138672	2500	1.8928594589233398	
4.5684767130106995e+32	23.756	6.863736263736263	11.756043956043957	8.692307692307692	0.18409138260570002	5	354	84	22.0	56.0	39.0	2	2.0	2.0	1.0	53	0	0.10677051544189453	3000	1.9996299743652344	
2.330473971069909e+18	24.474	7.197478991596639	12.838235294117647	9.497899159663865	0.18409138260570002	6	379	102	22.0	63.0	43.0	2	2.0	2.0	1.0	54	0	0.12564420700073242	3500	2.125274181365967	
2.00771562185873	26.288	7.184486373165618	13.39622641509434	9.80712788259958	0.18409138260570002	7	403	81	22.0	72.0	54.0	2	2.0	2.0	1.0	55	0	0.11486649513244629	4000	2.240140676498413	
1.4546769651774031e+23	27.226	6.985042735042735	12.600427350427351	9.247863247863247	0.18409138260570002	8	436	83	24.0	65.0	47.0	3	2.0	2.0	1.0	59	0	0.12562894821166992	4500	2.365769624710083	
2.195585335273228e+39	27.264	7.1673728813559325	12.667372881355933	9.34322033898305	0.18409138260570002	9	465	72	21.0	67.0	49.0	2	2.0	2.0	1.0	61	0	0.11070466041564941	5000	2.4764742851257324	
1.327166417018103	29.152	7.31198347107438	13.396694214876034	9.865702479338843	0.18409138260570002	10	482	80	21.0	64.0	45.0	4	2.0	2.0	1.0	64	0	0.11971426010131836	5500	2.596188545227051	
2.533954079037681e+19	29.358	7.416842105263158	14.24842105263158	10.471578947368421	0.18409138260570002	11	508	69	22.0	68.0	48.0	1	2.0	2.0	1.0	65	0	0.11964583396911621	6000	2.715834379196167	
3.3891141365139136e+62	30.412	7.855072463768116	15.00207039337474	11.055900621118013	0.18409138260570002	12	526	85	28.0	98.0	67.0	3	2.0	2.0	1.0	68	0	0.1506345272064209	6500	2.866468906402588	
0.845571177022654	32.094	8.218029350104821	15.450733752620545	11.534591194968554	0.18409138260570002	13	550	105	28.0	76.0	56.0	6	2.0	2.0	1.0	69	0	0.13962316513061523	7000	3.006092071533203	
1.6052702870525097	33.678	8.493723849372385	16.935146443514643	12.612970711297072	0.18409138260570002	14	573	87	28.0	91.0	70.0	3	2.0	2.0	1.0	72	0	0.16119813919067383	7500	3.167290210723877	
2.2336779463535112	36.354	8.919917864476385	18.303901437371664	13.62217659137577	0.18409138260570002	15	587	105	29.0	97.0	72.0	2	2.0	2.0	1.0	72	0	0.16400647163391113	8000	3.331296682357788	
570664073298861.6	39.228	9.866943866943867	20.563409563409564	15.3991683991684	0.18409138260570002	16	607	104	26.0	90.0	68.0	3	2.0	2.0	1.0	73	0	0.15882611274719238	8500	3.4901227951049805	
1.1599455814092534	41.264	10.10759493670886	21.765822784810126	16.329113924050635	0.18409138260570002	17	634	126	29.0	100.0	74.0	9	2.0	2.0	1.0	75	0	0.17157697677612305	9000	3.6616997718811035	
1.0810953053466992	41.878	9.950617283950617	21.06584362139918	15.818930041152264	0.18409138260570002	18	649	113	33.0	93.0	73.0	4	2.0	2.0	1.0	78	0	0.20441699028015137	9500	3.866116762161255	
30.15980870806943	42.296	9.82340862422998	20.71663244353183	15.607802874743326	0.18409138260570002	19	663	127	33.0	102.0	77.0	7	2.0	2.0	1.0	80	0	0.2074437141418457	10000	4.073560476303101	
1.8397255713032554	42.828	10.2	21.125773195876288	15.927835051546392	0.18409138260570002	20	679	118	27.0	97.0	72.0	6	2.0	2.0	1.0	82	0	0.2154231071472168	10500	4.288983583450317	
1.3376386089717164e+33	43.128	10.349896480331262	21.476190476190474	16.209109730848862	0.18409138260570002	21	697	130	27.0	99.0	73.0	6	2.0	2.0	1.0	85	0	0.16057038307189941	11000	4.449553966522217	
15.588535224837628	45.222	10.270325203252032	21.473577235772357	16.195121951219512	0.18409138260570002	22	705	130	30.0	115.0	85.0	9	2.0	2.0	1.0	89	0	0.2114713191986084	11500	4.661025285720825	
1.5578336279970901	46.948	10.75564681724846	22.31211498973306	16.946611909650922	0.18409138260570002	23	718	130	39.0	109.0	82.0	8	2.0	2.0	1.0	90	0	0.3320739269256592	12000	4.993099212646484	
321.9222900049263	48.564	10.728421052631578	22.450526315789475	17.018947368421053	0.18409138260570002	24	743	130	39.0	87.0	67.0	2	2.0	2.0	1.0	93	0	0.175567626953125	12500	5.168666839599609	
