ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
160.65482033171722	30.608	7.832298136645963	15.254658385093167	11.231884057971014	0.035145211665477676	17	717	69	17.0	72.0	51.0	6	2.0	2.0	1.0	79	0	0.12003302574157715	9000	2.671755313873291	5525	38.61111111111111	
5.679357929620882e+145	31.444	7.8742138364779874	15.314465408805031	11.29559748427673	0.035145211665477676	18	741	80	17.0	65.0	45.0	6	2.0	2.0	1.0	80	0	0.11530685424804688	9500	2.787062168121338	5832	38.61052631578947	
6014358660476387.0	31.756	7.989495798319328	15.615546218487395	11.539915966386555	0.035145211665477676	19	766	76	17.0	64.0	45.0	4	2.0	2.0	1.0	82	0	0.11906003952026367	10000	2.9061222076416016	6159	38.41	
679616.7006954192	31.014	7.698544698544699	14.361746361746361	10.642411642411643	0.035124969629750334	20	786	97	17.0	66.0	45.0	4	2.0	2.0	1.0	83	0	0.1186075210571289	10500	3.0247297286987305	6457	38.50476190476191	
1.8281634153199097e+27	29.404	7.494824016563147	13.380952380952381	9.960662525879917	0.03471291666734254	21	804	78	17.0	66.0	45.0	5	2.0	2.0	1.0	84	0	0.11219072341918945	11000	3.13692045211792	6767	38.481818181818184	
39460.20887994204	29.654	7.977035490605428	14.684759916492693	11.002087682672235	0.03471291666734254	22	826	82	17.0	77.0	59.0	6	2.0	2.0	1.0	85	0	0.1268622875213623	11500	3.2637827396392822	7105	38.21739130434783	
125.08224340714779	30.326	7.807770961145194	14.715746421267893	10.924335378323109	0.03471291666734254	23	838	85	17.0	66.0	46.0	7	2.0	2.0	1.0	86	0	0.12499737739562988	12000	3.388780117034912	7429	38.09166666666667	
43.75130836815992	30.668	8.581740976645435	16.28874734607219	12.239915074309978	0.03471291666734254	24	868	80	17.0	77.0	58.0	6	2.0	2.0	1.0	87	0	0.1252892017364502	12500	3.5140693187713623	7743	38.056	
25.550063892975253	30.512	8.611814345991561	16.141350210970465	12.11603375527426	0.03471291666734254	25	895	81	17.0	75.0	53.0	6	2.0	2.0	1.0	88	0	0.1844346523284912	13000	3.6985039710998535	8073	37.9	
32.94774282509598	30.874	8.524625267665954	15.957173447537473	11.931477516059957	0.03471291666734254	26	929	75	17.0	68.0	48.0	7	2.0	2.0	1.0	90	0	0.1631755828857422	13500	3.8616795539855957	8397	37.8	
79.02890902434449	32.714	8.635974304068522	16.50321199143469	12.29336188436831	0.03471291666734254	27	963	92	17.0	78.0	57.0	7	2.0	2.0	1.0	91	0	0.13244390487670898	14000	3.9941234588623047	8718	37.728571428571435	
58.751458152399245	32.466	8.208860759493671	15.59704641350211	11.495780590717299	0.03471291666734254	28	990	90	17.0	79.0	60.0	5	2.0	2.0	1.0	92	0	0.11792182922363281	14500	4.1120452880859375	9040	37.6551724137931	
71.81988057463853	32.606	8.68041237113402	16.30721649484536	12.14020618556701	0.03471291666734254	29	1006	100	17.0	79.0	55.0	4	2.0	2.0	1.0	92	0	0.12476348876953125	15000	4.236808776855469	9356	37.626666666666665	
261.65294836324546	34.356	8.604255319148937	16.070212765957447	11.972340425531915	0.03471291666734254	30	1037	129	17.0	65.0	45.0	5	2.0	2.0	1.0	93	0	0.11946940422058105	15500	4.35627818107605	9655	37.70967741935484	
1.5259848126864337e+25	34.866	8.363057324840764	16.133757961783438	11.898089171974522	0.03471291666734254	31	1067	114	17.0	67.0	46.0	7	2.0	2.0	1.0	94	0	0.11995887756347656	16000	4.476237058639526	9947	37.831250000000004	
2.562679649914315e+35	35.926	8.694267515923567	16.81528662420382	12.46284501061571	0.03471291666734254	32	1097	107	17.0	73.0	50.0	7	2.0	2.0	1.0	97	0	0.12924408912658691	16500	4.605481147766113	10248	37.89090909090908	
1.8259903136193622e+83	37.162	8.49581589958159	16.518828451882847	12.221757322175732	0.03471291666734254	33	1120	101	17.0	73.0	51.0	6	2.0	2.0	1.0	100	0	0.1473984718322754	17000	4.752879619598389	10571	37.81764705882353	
7.687531423349692e+27	37.71	8.55084745762712	16.559322033898304	12.294491525423728	0.03471291666734254	34	1149	89	17.0	67.0	49.0	6	2.0	2.0	1.0	103	0	0.15018677711486816	17500	4.903066396713257	10872	37.87428571428572	
6.495483574299004e+27	37.796	8.078224101479915	14.849894291754756	11.10782241014799	0.03471291666734254	35	1177	100	17.0	61.0	46.0	8	2.0	2.0	1.0	103	0	0.11401867866516113	18000	5.017085075378418	11167	37.96111111111111	
5051.791952285859	36.462	8.10901467505241	15.28721174004193	11.31027253668763	0.03471291666734254	36	1201	95	17.0	54.0	42.0	5	2.0	2.0	1.0	104	0	0.1181631088256836	18500	5.135248184204102	11464	38.03243243243243	
15726.035982837147	37.136	8.370833333333334	15.447916666666666	11.5	0.03471291666734254	37	1222	95	17.0	62.0	44.0	8	2.0	2.0	1.0	108	0	0.11890721321105957	19000	5.254155397415161	11779	38.005263157894746	
125.8963788515759	37.274	8.125265392781316	15.008492569002124	11.182590233545648	0.03471291666734254	38	1252	82	17.0	69.0	51.0	6	2.0	2.0	1.0	108	0	0.12051105499267578	19500	5.374666452407837	12069	38.10769230769231	
97.2650221992092	34.894	8.056722689075631	14.539915966386555	10.86344537815126	0.03471291666734254	39	1277	87	17.0	69.0	51.0	6	2.0	2.0	1.0	109	0	0.1304304599761963	20000	5.505096912384033	12360	38.2	
7.792407682467865e+56	34.688	8.030927835051546	14.703092783505154	10.96701030927835	0.03471291666734254	40	1293	100	17.0	56.0	42.0	6	2.0	2.0	1.0	110	0	0.13357305526733398	20500	5.638669967651367	12659	38.24878048780488	
