ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.3664377505604362	62.708	7.004	62.072	41.946	0.7848568647966473	0	0	303	10	299	202	4	4	4	3	0	0	6.227549314498901	500	6.227549314498901	473	5.400000000000006	
0.40678562026412635	64.28	7.229681978798586	30.406360424028268	20.86572438162544	0.7848568647966473	1	218	293	17.0	204.0	139.0	3	3.0	3.0	2.0	0	0	2.4960434436798096	1000	8.723592758178711	687	31.299999999999997	
0.43691474315463397	63.124	6.987745098039215	28.284313725490197	19.46078431372549	0.7848568647966473	2	311	302	17.0	178.0	122.0	3	3.0	3.0	2.0	0	0	2.0087549686431885	1500	10.7323477268219	949	36.73333333333333	
0.46214444646027913	66.548	6.844907407407407	27.75	19.12962962962963	0.7908705949302469	3	380	302	17.0	174.0	119.0	2	3.0	3.0	2.0	0	0	0.9002430438995361	2000	11.632590770721436	1181	40.949999999999996	
0.4761968414625844	79.752	7.098214285714286	30.433035714285715	21.004464285714285	0.7933588193684713	4	433	345	17.0	174.0	119.0	3	3.0	3.0	2.0	0	0	0.9392318725585938	2500	12.57182264328003	1452	41.92	
0.5006244097632513	85.97	7.243956043956044	29.61758241758242	20.46153846153846	0.7933588193684713	5	479	313	17.0	182.0	124.0	4	3.0	3.0	2.0	0	0	0.9510514736175537	3000	13.522874116897583	1728	42.400000000000006	
0.4837551291625772	79.424	6.7956521739130435	26.530434782608694	18.35217391304348	0.7933588193684713	6	520	313	17.0	167.0	114.0	3	3.0	3.0	2.0	0	0	0.96201491355896	3500	14.484889030456543	1975	43.57142857142857	
0.4963377199333032	82.734	6.949781659388647	28.34061135371179	19.602620087336245	0.7933588193684713	7	563	313	17.0	197.0	135.0	4	3.0	3.0	2.0	0	0	0.9727315902709961	4000	15.457620620727539	2209	44.775	
0.5165467884959105	84.99	7.041125541125541	29.041125541125542	20.1017316017316	0.7933588193684713	8	602	338	17.0	190.0	130.0	3	3.0	3.0	2.0	0	0	0.987680196762085	4500	16.445300817489624	2469	45.13333333333334	
0.5236445189605436	84.07	7.330508474576271	30.14406779661017	20.83686440677966	0.7933588193684713	9	631	314	17.0	190.0	130.0	4	3.0	3.0	2.0	0	0	2.372128963470459	5000	18.817429780960083	2732	45.36	
0.5163609977465883	85.454	7.303030303030303	29.357142857142858	20.313852813852815	0.7933588193684713	10	670	339	17.0	170.0	116.0	6	3.0	3.0	2.0	0	0	1.4854636192321777	5500	20.30289340019226	3012	45.23636363636364	
0.5312496532521265	90.256	7.464668094218416	31.916488222698074	22.053533190578158	0.7933588193684713	11	704	355	17.0	251.0	172.0	6	3.0	3.0	2.0	0	0	1.6226978302001953	6000	21.925591230392456	3268	45.53333333333334	
0.5489821042073966	92.52	7.754310344827586	33.11853448275862	22.911637931034484	0.7933588193684713	12	741	313	17.0	173.0	119.0	6	3.0	3.0	2.0	0	0	1.8992679119110107	6500	23.824859142303467	3551	45.369230769230775	
0.5663844935013259	91.42	7.961538461538462	35.297008547008545	24.438034188034187	0.7933588193684713	13	774	290	17.0	176.0	122.0	13	3.0	3.0	2.0	0	0	1.0063254833221436	7000	24.83118462562561	3834	45.22857142857143	
0.5710668260315982	95.166	8.442827442827443	38.65072765072765	26.781704781704782	0.7933588193684713	14	794	271	17.0	145.0	99.0	11	3.0	3.0	2.0	0	0	1.009875774383545	7500	25.841060400009155	4131	44.92	
0.6080112219567444	95.37	8.648590021691973	40.55748373101952	28.060737527114966	0.7933588193684713	15	834	216	17.0	154.0	104.0	11	3.0	3.0	2.0	0	0	0.9944040775299072	8000	26.835464477539062	4435	44.56250000000001	
0.600731093936623	102.468	8.832285115303984	41.890985324947586	28.9769392033543	0.7933588193684713	16	858	227	17.0	165.0	113.0	16	3.0	3.0	2.0	0	0	1.1156928539276123	8500	27.951157331466675	4742	44.21176470588235	
0.5985068834120523	102.722	8.733333333333333	40.909677419354836	28.266666666666666	0.7933588193684713	17	894	232	17.0	183.0	126.0	10	3.0	3.0	2.0	0	0	1.0048942565917969	9000	28.95605158805847	5049	43.89999999999999	
0.619667600158836	108.492	8.99785407725322	43.9206008583691	30.358369098712448	0.7933588193684713	18	929	241	17.0	159.0	109.0	12	3.0	3.0	2.0	0	0	1.03617525100708	9500	29.99222683906555	5347	43.71578947368421	
0.6082998336914835	109.304	8.945263157894736	43.76	30.242105263157896	0.7933588193684713	19	955	250	17.0	182.0	125.0	14	3.0	3.0	2.0	0	0	1.0027730464935303	10000	30.994999885559082	5660	43.400000000000006	
0.6182370647114601	111.502	9.055084745762711	44.28601694915254	30.578389830508474	0.7933588193684713	20	984	274	17.0	167.0	115.0	21	3.0	3.0	2.0	0	0	0.9979293346405029	10500	31.992929220199585	5959	43.24761904761905	
0.6238533635704503	117.262	9.293736501079914	46.49892008639309	32.107991360691145	0.7933588193684713	21	1022	291	17.0	166.0	113.0	13	3.0	3.0	2.0	0	0	0.9973013401031494	11000	32.990230560302734	6260	43.09090909090909	
0.6189638950215858	115.322	8.902335456475583	41.92356687898089	28.963906581740975	0.7933588193684713	22	1052	280	17.0	219.0	149.0	20	3.0	3.0	2.0	0	0	0.9909224510192871	11500	33.98115301132202	6547	43.0695652173913	
0.606634882801046	115.466	8.98917748917749	43.92857142857143	30.350649350649352	0.7933588193684713	23	1091	275	17.0	219.0	149.0	22	3.0	3.0	2.0	0	0	0.980637788772583	12000	34.961790800094604	6848	42.93333333333334	
0.6004209919463548	114.088	9.159574468085106	44.33191489361702	30.651063829787233	0.7933588193684713	24	1122	273	17.0	186.0	127.0	20	3.0	3.0	2.0	0	0	0.9966785907745361	12500	35.95846939086914	7162	42.704	
0.6103926386946881	114.174	8.962421711899792	42.413361169102295	29.315240083507305	0.7933588193684713	25	1144	297	17.0	156.0	106.0	13	3.0	3.0	2.0	0	0	1.0119030475616455	13000	36.970372438430786	7467	42.56153846153846	
0.6116439585820982	114.618	8.950959488272922	42.701492537313435	29.5181236673774	0.7933588193684713	26	1176	267	17.0	156.0	106.0	6	3.0	3.0	2.0	0	0	1.0007779598236084	13500	37.971150398254395	7769	42.45185185185185	
0.6244988283513762	115.67	9.056034482758621	42.116379310344826	29.11853448275862	0.7940566378066377	27	1213	267	17.0	161.0	111.0	5	3.0	3.0	2.0	0	0	0.9918179512023926	14000	38.96296834945679	8063	42.40714285714285	
0.6041202723230619	120.388	9.10828025477707	44.817409766454354	30.976645435244162	0.7940566378066377	28	1243	286	17.0	223.0	153.0	12	3.0	3.0	2.0	0	0	1.0037789344787598	14500	39.96674728393555	8375	42.241379310344826	
0.6270855151061343	120.626	9.319057815845824	45.26338329764454	31.282655246252677	0.7940566378066377	29	1277	348	17.0	223.0	153.0	18	3.0	3.0	2.0	0	0	1.0158629417419434	15000	40.98261022567749	8673	42.17999999999999	
0.6446877186730426	126.55	9.392484342379959	45.183716075156575	31.242171189979125	0.7940566378066377	30	1299	301	17.0	178.0	122.0	24	3.0	3.0	2.0	0	0	1.031144380569458	15500	42.01375460624695	8985	42.03225806451613	
0.6404457108974985	130.064	9.384615384615385	44.32640332640332	30.69022869022869	0.7940566378066377	31	1319	303	17.0	206.0	141.0	18	3.0	3.0	2.0	0	0	1.9284775257110596	16000	43.94223213195801	9312	41.800000000000004	
