ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
2.7498788620123244e+66	63.892	8.958246346555324	32.13152400835073	21.778705636743215	0.9985467714051353	38	1020	173	17.0	109.0	70.0	6	2.0	2.0	1.0	442	0	0.38262200355529785	19500	12.898503303527832	12702	34.86153846153847	
1.510324371079023e+132	64.396	8.688524590163935	30.633196721311474	20.733606557377048	0.9985467714051353	39	1032	169	17.0	139.0	94.0	7	2.0	2.0	1.0	458	0	0.38020920753479004	20000	13.278712511062622	13074	34.63000000000001	
4.02672887309562e+47	67.828	9.049586776859504	33.05785123966942	22.330578512396695	0.9985467714051353	40	1048	149	17.0	124.0	83.0	14	2.0	2.0	1.0	477	0	0.3856692314147949	20500	13.664381742477417	13416	34.5560975609756	
8.050775704060485e+77	66.942	9.167014613778706	32.47390396659708	22.052192066805844	0.9985467714051353	41	1069	159	17.0	112.0	77.0	6	2.0	2.0	1.0	493	0	0.37378478050231934	21000	14.038166522979736	13766	34.44761904761904	
3.647028735152505e+38	69.564	8.863070539419088	30.946058091286307	21.00414937759336	0.9985467714051353	42	1088	155	17.0	127.0	87.0	6	2.0	2.0	1.0	503	0	0.361663818359375	21500	14.399830341339111	14112	34.36279069767441	
1.7743684257132163e+117	71.318	8.79633401221996	31.08553971486762	21.016293279022403	0.9985465084411329	43	1097	164	17.0	119.0	81.0	11	2.0	2.0	1.0	511	0	0.3712773323059082	22000	14.77110767364502	14476	34.2	
6.814797055278273e+38	73.85	8.789256198347108	32.493801652892564	21.880165289256198	0.9985465084411329	44	1113	166	17.0	114.0	77.0	15	2.0	2.0	1.0	533	0	0.35498690605163574	22500	15.126094579696655	14813	34.16444444444444	
481510215.4716245	75.306	9.039337474120083	33.383022774327124	22.540372670807454	0.9985465084411329	45	1130	194	17.0	158.0	109.0	7	2.0	2.0	1.0	549	0	0.3668193817138672	23000	15.492913961410522	15168	34.052173913043475	
1.5030223279785047e+52	77.25	8.844537815126051	33.153361344537814	22.380252100840337	0.9985465084411329	46	1155	230	17.0	137.0	94.0	7	2.0	2.0	1.0	571	0	0.36002564430236816	23500	15.85293960571289	15502	34.03404255319148	
58256792215.40228	81.808	9.002057613168724	33.41769547325103	22.57201646090535	0.9985465084411329	47	1170	234	17.0	137.0	92.0	9	2.0	2.0	1.0	581	0	0.36847639083862305	24000	16.221415996551514	15864	33.89999999999999	
1.0955192159442494e+43	82.264	9.238900634249472	35.0	23.6723044397463	0.9985465084411329	48	1198	260	17.0	157.0	104.0	10	2.0	2.0	1.0	592	0	0.4232969284057617	24500	16.644712924957275	16209	33.840816326530614	
8.585239946245801e+52	86.372	9.41908713692946	36.522821576763484	24.67427385892116	0.99853955627385	49	1217	234	17.0	154.0	104.0	8	2.0	2.0	1.0	599	0	0.3970613479614258	25000	17.0417742729187	16580	33.67999999999999	
3.217546818581699e+46	89.778	9.773388773388774	40.86070686070686	27.66320166320166	0.99853955627385	50	1236	213	17.0	165.0	114.0	10	2.0	2.0	1.0	618	0	0.4263761043548584	25500	17.46815037727356	16936	33.584313725490205	
